main_sku,master_sku,name,тип,barcode,barcodes,является_основным,основной_sku,дубли,компоненты_count,компоненты,входит_в_комплекты
100846172_396278936,100846172,Vivienne Sabo Jolies Levres карандаш 104,Товар,3700971335596,3700971335596,да,,,0,,
100208282_828844338,100208282,BABOR Deep Cleansing пенка 200 мл,Товар,4015165363156,4015165363156,да,,,0,,102781005_859651508
101841323_15142052,101841323,TOO COOL FOR SCHOOL крем Quadruple UV Shield SPF50 для лица 80 мл,Товар,8809658627520,8809658627520,да,,,0,,
100228607_192901817,132897316,Clinique гель Dramatically Different Moisturizing Gel для лица 125 мл,Товар,,,да,,115781416_115693234,0,,
17600141_829230164,17600141,BABOR крем Skinovage Vitalizing для лица 50 мл,Товар,,,да,,,0,,
100678273_144175246,100678273,BABOR пилинг Enzyme Cleanser 40 г,Товар,,,да,,,0,,102781003_718180629
115319464_086974375,115319464,Celimax пилинг Pore Dark Spot Brightening Pad 40 шт,Товар,8809743546323,8809743546323,да,,,0,,137036304_800357788
100374871_15142052,100374871,Banila Co Clean It Zero Tea Tree-EX бальзам 100 мл,Товар,,,да,,,0,,
112861860_862412,112861860,The Act набор скрабов антицеллюлитных для тела 3 шт по 300 г,Товар,4678599767626,4678599767626,да,,,0,,
100397079_628164,100397079,By Wishtrend тоник Mandelic Acid 5% Skin Prep Water 120 мл,Товар,8809572890352,8809572890352,да,,"100703287_861377,134771808_791942167,136101629_362306911,141223392_260679706",0,,
116584182_305425167,116584182,I'M FROM Mugwort Gel Cleanser гель 150 мл,Товар,8809525931606,8809525931606,да,,,0,,
112846967_805289627,112846967,Dr.Ceuracle крем Vegan Active Berry Lifting для лица 75 мл,Товар,,,да,,,0,,
114817387_524482473,114817387,BIDALLI мист All in One Onsen-Sui 100 мл,Товар,8809563068852,8809563068852,да,,,0,,138247205_140118124
100073683_092173602,100073683,Пудра LUXVISAGE Expert Matt сухая бесцветный прозрачный,Товар,4811329023924,4811329023924,да,,,0,,
137131144_273327738,137131144,MIXIT Vitamin C энзимная пудра 100 г,Товар,4650358455500,4650358455500,да,,,0,,
104265139_525047043,104265139,LUXVISAGE Skin Evolution Soft Matte тональный крем 35 Warm beige 35 мл,Товар,4811329034852,4811329034852,да,,,0,,
101846274_227514,101846274,"Тушь для ресниц Farmstay Princess Curl Longlash удлиняющая, подкручивающая черный",Товар,8809324207315,8809324207315,да,,,0,,
132154366_674680884,132154366,BOTO Низкомолекулярный коллаген с Витамином С порошок 120,Товар,8806102877906,8806102877906,да,,,0,,
104613101_317687,104613101,AXIS-Y Quinoa One Step гель 180 мл,Товар,8809634610027,8809634610027,да,,,0,,
123910439_021872129,123910439,Vivienne Sabo Macaron румяна 02 · Холодный розовый,Товар,3666670818252,3666670818252,да,,,0,,
102556845_851563,102556845,Shik Perfect Liquid Contour скульптор 01,Товар,4631159949269,4631159949269,да,,,0,,116237542_787254257
101273183_15142052,101273183,Gabrini Derma 24h matte SPF15 тональный крем 102 40 мл,Товар,8696814078520,8696814078520,да,,,0,,
100154429_539052,100154429,Topface тени прессованные Pro Palette 014,Товар,,,да,,100171860_220720,0,,
130381362_222075853,130381362,"The Act скраб Кокос для рук, для ног, для тела 3 шт по 300 г",Товар,,,да,,,0,,
17501018_745069,17501018,Starway WaterBased Foundation тональный крем 10103 140 мл,Товар,,,да,,,0,,
